species,legacy_prefix,status,row_count,source_attested_row_count,evidence,example_accessions,example_source_labels
Strix nebulosa,Stne,external_uniprot_label,2,2,https://rest.uniprot.org/uniprotkb/B3F8V2;https://rest.uniprot.org/uniprotkb/B3F8V3,B3F8V2;B3F8V3,Stne-DAB2 MHC class II antigen beta;Stne-DAB1 MHC class II antigen beta
Strix uralensis,Stur,external_uniprot_label,2,2,https://rest.uniprot.org/uniprotkb/B3F8V4;https://rest.uniprot.org/uniprotkb/B3F8V5,B3F8V4;B3F8V5,Stur-DAB2 MHC class II antigen beta;Stur-DAB1 MHC class II antigen beta
Surnia ulula,Suul,external_uniprot_label,5,5,https://rest.uniprot.org/uniprotkb/B3F8T9;https://rest.uniprot.org/uniprotkb/B3F8U0;https://rest.uniprot.org/uniprotkb/B3F8U1,B3F8T9;B3F8U0;B3F8U1,Suul-DAB2 MHC class II antigen beta;Suul-DAB1 MHC class II antigen beta
Sylvia borin,Sybo,external_uniprot_label,25,25,https://rest.uniprot.org/uniprotkb/A0A0S2MYY4;https://rest.uniprot.org/uniprotkb/A0A0S2MZ00;https://rest.uniprot.org/uniprotkb/A0A0S2MZ03,A0A0S2MYY4;A0A0S2MZ00;A0A0S2MZ03,Sybo-UA MHC class I antigen
Syrmaticus reevesii,MHC,external_uniprot_label,1,1,https://rest.uniprot.org/uniprotkb/I1W6A2,I1W6A2,MHC-B MHC class II antigen beta chain
Tachyglossus aculeatus,Taac,external_uniprot_label,4,4,https://rest.uniprot.org/uniprotkb/Q6WGJ3;https://rest.uniprot.org/uniprotkb/Q6WGJ4;https://rest.uniprot.org/uniprotkb/Q6WGJ5,Q6WGJ3;Q6WGJ4;Q6WGJ5,Taac-DZB MHC class II antigen
Tiliqua adelaidensis,Tiad,external_uniprot_label,4,4,https://rest.uniprot.org/uniprotkb/A0A0K0N2V0;https://rest.uniprot.org/uniprotkb/A0A0K0N386;https://rest.uniprot.org/uniprotkb/A0A0K0N3E6,A0A0K0N2V0;A0A0K0N386;A0A0K0N3E6,Tiad-UA MHC class I antigen
Tiliqua rugosa,Tiru,external_uniprot_label,14,14,https://rest.uniprot.org/uniprotkb/A0A0K0N390;https://rest.uniprot.org/uniprotkb/A0A0K0N3F1;https://rest.uniprot.org/uniprotkb/A0A0K0N3F3,A0A0K0N390;A0A0K0N3F1;A0A0K0N3F3,Tiru-UB MHC class I antigen;Tiru-UA MHC class I antigen
Trachinotus ovatus,TO,external_uniprot_label,44,44,https://rest.uniprot.org/uniprotkb/A0A3G1LCB1;https://rest.uniprot.org/uniprotkb/A0A3G1LCB2;https://rest.uniprot.org/uniprotkb/A0A3G1LCB4,A0A3G1LCB1;A0A3G1LCB2;A0A3G1LCB4,TO-DAB MHC class II antigen beta chain
Trachinotus ovatus,Trov,external_uniprot_label,151,151,https://rest.uniprot.org/uniprotkb/A0A167QN57;https://rest.uniprot.org/uniprotkb/A0A1J0QXE6;https://rest.uniprot.org/uniprotkb/A0A1J0QXE8,A0A167QN57;A0A1J0QXE6;A0A1J0QXE8,Trov-DAA MHC class II antigen (MHC class II antigen alpha chain);Trov-UBA MHC class I alpha antigen;Trov-DAA MHC class II antigen alpha chain
Trichosurus vulpecula,Truv,external_uniprot_label,1,1,https://rest.uniprot.org/uniprotkb/Q95IT0,Q95IT0,Truv-UB MHC class I antigen
Trichosurus vulpecula,Trvu,external_uniprot_label,12,10,https://rest.uniprot.org/uniprotkb/B3U2C3;https://rest.uniprot.org/uniprotkb/B3U2C4;https://rest.uniprot.org/uniprotkb/B3U2C5,B3U2C3;B3U2C4;B3U2C5,TrvuDAA MHC class II antigen;TrvuDBB MHC class II antigen
Triturus cristatus,Trcr,external_uniprot_label,2,2,https://rest.uniprot.org/uniprotkb/B8XWH4;https://rest.uniprot.org/uniprotkb/B8XWJ8,B8XWH4;B8XWJ8,Trcr-DAB MHC class II antigen
Turdus atrogularis,Tuat,external_uniprot_label,9,9,https://rest.uniprot.org/uniprotkb/A0A6B9MDW2;https://rest.uniprot.org/uniprotkb/A0A6B9MDW3;https://rest.uniprot.org/uniprotkb/A0A6B9MDW5,A0A6B9MDW2;A0A6B9MDW3;A0A6B9MDW5,TuatPFA02 MHC class I antigen;TuatPFA05 MHC class I antigen;TuatPFA09 MHC class I antigen
Turdus naumanni,Tuna,external_uniprot_label,9,9,https://rest.uniprot.org/uniprotkb/A0A6B9MIG4;https://rest.uniprot.org/uniprotkb/A0A6B9MDT2;https://rest.uniprot.org/uniprotkb/A0A6B9MDT4,A0A6B9MIG4;A0A6B9MDT2;A0A6B9MDT4,TunaPFA06 MHC class I antigen;TunaPFA03 MHC class I antigen;TunaPFA07 MHC class I antigen
Turdus ruficollis,Turu,external_uniprot_label,9,9,https://rest.uniprot.org/uniprotkb/A0A6B9MDV5;https://rest.uniprot.org/uniprotkb/A0A6B9MDV7;https://rest.uniprot.org/uniprotkb/A0A6B9MDV8,A0A6B9MDV5;A0A6B9MDV7;A0A6B9MDV8,TuruPFA01 MHC class I antigen;TuruPFA04 MHC class I antigen;TuruPFA08 MHC class I antigen
Tyto alba,Tyal,external_uniprot_label,198,192,https://rest.uniprot.org/uniprotkb/A0A172WY83;https://rest.uniprot.org/uniprotkb/A0A172WY84;https://rest.uniprot.org/uniprotkb/A0A172WY85,A0A172WY83;A0A172WY84;A0A172WY85,Tyal-UA MHC class I antigen;Tyal-DAB1 MHC class II antigen;Tyal-DAB2 MHC class II antigen
Xenopus laevis,Xela,external_uniprot_label,24,14,https://rest.uniprot.org/uniprotkb/P79597;https://rest.uniprot.org/uniprotkb/Q2QB90;https://rest.uniprot.org/uniprotkb/Q2QB91,P79597;Q2QB90;Q2QB91,Xela-DAB MHC class II beta-chain;Xela-UAA MHC class Ia antigen;Xela-DAB MHC classII beta-chain
Xiphophorus hellerii,Xihe,external_uniprot_label,1,1,https://rest.uniprot.org/uniprotkb/O62885,O62885,Xihe-DXB MHC class II beta chain
Xiphophorus maculatus,Xima,external_uniprot_label,2,2,https://rest.uniprot.org/uniprotkb/O62884;https://rest.uniprot.org/uniprotkb/O62938,O62884;O62938,Xima-DAB MHC class II beta chain;Xima-DXB MHC class II beta chain
Xiphophorus multilineatus,Ximu,external_uniprot_label,62,62,https://rest.uniprot.org/uniprotkb/B5AIX3;https://rest.uniprot.org/uniprotkb/B5AIX4;https://rest.uniprot.org/uniprotkb/B5AIX5,B5AIX3;B5AIX4;B5AIX5,XimuDXB MHC class II beta antigen;XimuDAB MHC class II beta antigen;XimuDXB MHC class II antigen beta chain
Xiphophorus pygmaeus,Xipy,external_uniprot_label,46,46,https://rest.uniprot.org/uniprotkb/B5AIY7;https://rest.uniprot.org/uniprotkb/B5AIY8;https://rest.uniprot.org/uniprotkb/B5AIY9,B5AIY7;B5AIY8;B5AIY9,XipyDXB MHC class II beta antigen;XipyDAB MHC class II beta antigen;XipyDXB MHC class II antigen beta chain
Zhangixalus omeimontis,Rhom,external_uniprot_label,20,20,https://rest.uniprot.org/uniprotkb/R9UQ42;https://rest.uniprot.org/uniprotkb/R9UQ50;https://rest.uniprot.org/uniprotkb/R9UQ57,R9UQ42;R9UQ50;R9UQ57,Rhom-UA MHC class Ia alpha antigen
Acipenser oxyrinchus,Acox,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Alca torda,Alto,generated_by_mhcseqs_2plus2,19,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ameiva ameiva,Amam,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Antigone canadensis,Anca,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Apodemus flavicollis,Apfl,generated_by_mhcseqs_2plus2,60,0,retired 2+2 rule; absent from available raw UniProt labels,,
Apodemus sylvaticus,Apsy,generated_by_mhcseqs_2plus2,36,0,retired 2+2 rule; absent from available raw UniProt labels,,
Astyanax mexicanus,Asme,generated_by_mhcseqs_2plus2,11,0,retired 2+2 rule; absent from available raw UniProt labels,,
Barbus barbus,Baba,generated_by_mhcseqs_2plus2,10,0,retired 2+2 rule; absent from available raw UniProt labels,,
Blicca bjoerkna,Blbj,generated_by_mhcseqs_2plus2,10,0,retired 2+2 rule; absent from available raw UniProt labels,,
Carassius auratus,Caau,generated_by_mhcseqs_2plus2,7,0,retired 2+2 rule; absent from available raw UniProt labels,,
Carassius carassius,Caca,generated_by_mhcseqs_2plus2,6,0,retired 2+2 rule; absent from available raw UniProt labels,,
Castor canadensis,Caca,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Cavia porcellus,Capo,generated_by_mhcseqs_2plus2,6,0,retired 2+2 rule; absent from available raw UniProt labels,,
Chelydra serpentina,Chse,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Chinchilla lanigera,Chla,generated_by_mhcseqs_2plus2,9,0,retired 2+2 rule; absent from available raw UniProt labels,,
Chrysemys picta,Chpi,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Clupea harengus,Clha,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Cricetulus barabensis,Crba,generated_by_mhcseqs_2plus2,44,0,retired 2+2 rule; absent from available raw UniProt labels,,
Cricetus cricetus,Crcr,generated_by_mhcseqs_2plus2,15,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys argentinus,Ctar,generated_by_mhcseqs_2plus2,4,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys australis,Ctau,generated_by_mhcseqs_2plus2,23,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys conoveri,Ctco,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys frater,Ctfr,generated_by_mhcseqs_2plus2,3,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys goodfellowi,Ctgo,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys haigi,Ctha,generated_by_mhcseqs_2plus2,7,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys maulinus,Ctma,generated_by_mhcseqs_2plus2,3,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys mendocinus,Ctme,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys opimus,Ctop,generated_by_mhcseqs_2plus2,3,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys pearsoni,Ctpe,generated_by_mhcseqs_2plus2,5,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys porteousi,Ctpo,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys rionegrensis,Ctri,generated_by_mhcseqs_2plus2,2,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys sociabilis,Ctso,generated_by_mhcseqs_2plus2,6,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys steinbachi,Ctst,generated_by_mhcseqs_2plus2,1,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys talarum,Ctta,generated_by_mhcseqs_2plus2,26,0,retired 2+2 rule; absent from available raw UniProt labels,,
Ctenomys torquatus,Ctto,generated_by_mhcseqs_2plus2,7,0,retired 2+2 rule; absent from available raw UniProt labels,,
Cynomys gunnisoni,Cygu,generated_by_mhcseqs_2plus2,10,0,retired 2+2 rule; absent from available raw UniProt labels,,
Cynomys ludovicianus,Cylu,generated_by_mhcseqs_2plus2,5,0,retired 2+2 rule; absent from available raw UniProt labels,,
