taxon_id,organism,taxonomy_name,source_clade,source_clade_taxon_id,species_category,category_basis_taxon_id,taxonomy_release,source_url,audited_on
30415,Grus japonensis,Grus japonensis,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/30415,2026-09-03
30419,Opisthocomus hoazin,Opisthocomus hoazin,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/30419,2026-09-03
30464,Nothoprocta perdicaria,Nothoprocta perdicaria,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/30464,2026-09-03
30494,Triakis scyllium,Triakis scyllium,Chondrichthyes,7777,fish,7777,2026_03,https://rest.uniprot.org/taxonomy/30494,2026-09-03
30608,Microcebus murinus,Microcebus murinus,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/30608,2026-09-03
30611,Otolemur garnettii,Otolemur garnettii,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/30611,2026-09-03
30637,Spalax ehrenbergi,Spalax ehrenbergi,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/30637,2026-09-03
30732,Oryzias melastigma,Oryzias melastigma,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/30732,2026-09-03
31033,Takifugu rubripes,Takifugu rubripes,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/31033,2026-09-03
31140,Conolophus subcristatus,Conolophus subcristatus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/31140,2026-09-03
32507,Neolamprologus brichardi,Neolamprologus brichardi,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/32507,2026-09-03
33587,Mycteria americana,Mycteria americana,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/33587,2026-09-03
34839,Chinchilla lanigera,Chinchilla lanigera,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/34839,2026-09-03
35019,Thamnophis sirtalis,Thamnophis sirtalis,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/35019,2026-09-03
35024,Crotalus horridus,Crotalus horridus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/35024,2026-09-03
35670,Naja naja,Naja naja,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/35670,2026-09-03
37003,Kryptolebias marmoratus,Kryptolebias marmoratus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/37003,2026-09-03
37293,Aotus nancymaae,Aotus nancymaae,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/37293,2026-09-03
38626,Phascolarctos cinereus,Phascolarctos cinereus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/38626,2026-09-03
39432,Saimiri boliviensis boliviensis,Saimiri boliviensis boliviensis,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/39432,2026-09-03
39621,Acrocephalus arundinaceus,Acrocephalus arundinaceus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/39621,2026-09-03
40147,Acipenser oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/40147,2026-09-03
40151,Monodon monoceros,Monodon monoceros,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/40151,2026-09-03
40157,Lonchura striata,Lonchura striata,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/40157,2026-09-03
41447,Seriola dumerili,Seriola dumerili,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/41447,2026-09-03
42100,Phocoena sinus,Phocoena sinus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/42100,2026-09-03
43179,Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/43179,2026-09-03
43346,Bison bison bison,Bison bison bison,Mammalia,40674,ungulate,9895,2026_03,https://rest.uniprot.org/taxonomy/43346,2026-09-03
44394,Zonotrichia albicollis,Zonotrichia albicollis,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/44394,2026-09-03
48883,Geospiza fortis,Geospiza fortis,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/48883,2026-09-03
51154,Catagonus wagneri,Catagonus wagneri,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/51154,2026-09-03
51208,Amblyrhynchus cristatus,Amblyrhynchus cristatus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/51208,2026-09-03
52577,Phrynosoma platyrhinos,Phrynosoma platyrhinos,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/52577,2026-09-03
